date,costA,QA,costC,costB,cons_err
2025-08-01,40849.67325732,0.0,47599.1259772325,65778.45819144,4.039144012869968
2025-08-02,42884.67509769,0.0,49080.8856962425,65115.9404565,4.605750292439294
2025-08-03,57661.58761529535,5770.0278085246855,68857.17557717333,168985.5898964,0.02385329134829989
2025-08-04,52409.72657074487,3791.2001958847704,68727.24904938416,107104.60712238,0.021339227301836794
2025-08-05,53498.42500406875,4582.539789506165,68639.07402412,74829.319422425,0.02218643447229519
2025-08-06,55299.804421458204,3615.9906115370327,71652.0836720725,122153.39008555001,0.06032214212787245
2025-08-07,50111.179736438324,1835.7936499999983,70509.10201943833,67702.984706025,0.14152275842300538
2025-08-08,38934.23655198,0.0,46686.7867298775,64801.11493920001,5.813319103048182
2025-08-09,37577.702370499996,0.0,46375.73127884582,91821.521352215,4.285568672935485
2025-08-10,59514.56009910168,6827.048314952676,68358.89462163666,153482.341867395,0.02117023672787114
2025-08-11,56515.34581242771,6163.785103152256,69423.07016359166,90419.13335317501,0.024170441302593864
2025-08-12,56712.62915049342,4544.35093308847,70138.92656288166,69434.772231385,0.027100968145181648
2025-08-13,59572.90134817027,7465.910801635795,67968.42823301,86059.840534995,0.022562338524366433
2025-08-14,57352.94883500591,5367.616987049374,71216.424776295,67697.11039043,0.02429297180811321
2025-08-15,43156.33723329,0.0,49136.00635083334,65329.70672334001,6.011216324929676
2025-08-16,40642.99343286,0.0,48261.280923217506,71645.608008475,5.491986847338661
2025-08-17,57671.47797869575,5426.5083002469055,69430.69561333916,103224.968484545,0.024658040280993953
2025-08-18,54271.067136800164,4032.309339800404,70307.006662825,85450.14180618501,0.04366019824830174
2025-08-19,55708.24210869154,4915.893872440325,68702.82690499416,178271.290234075,0.02164722738246919
2025-08-20,64713.074347028916,7336.3435582613065,74218.19362147749,71718.53790199,0.07393117309418125
2025-08-21,54712.94480218292,4192.10822898765,68762.9579049075,66830.21758001001,0.021554582020109812
2025-08-22,40269.9171804,0.0,48246.38431021667,65719.89200059499,3.926592259149418
2025-08-23,36979.99394952,0.0,46455.44384515917,84192.960100745,3.2441199831454526
2025-08-24,59170.62569565952,6141.571501662547,70922.39522934666,83578.16006974,0.053376395234492786
2025-08-25,58353.45256657016,1843.6465233333313,75977.83299477083,72160.358896985,0.2906354123735938
2025-08-26,54312.03350340997,4021.3584807880625,70627.68384351332,70303.14289025,0.04281795060881778
2025-08-27,58908.244793716,5811.3504217860045,72651.39324499,72742.69305945499,0.024141198906835158
2025-08-28,73290.20180514659,12546.997302288062,71676.86946055084,94168.562442095,0.025729253890006857
2025-08-29,43518.14789972,0.0,50578.973618937496,70139.218853255,4.192001834008356
2025-08-30,39887.50688276,0.0,48053.65005268083,91749.01615837999,4.779015865169957
2025-08-31,62593.38588207718,7640.331579382712,70575.5360779825,63370.061395015,0.02820705263022354
2025-09-01,42128.83980987,0.0,61924.9588278275,68727.55852677001,0.5283993628139899
2025-09-02,37719.455685415,7.204583333333289,62481.50546020166,66585.78627997,0.19443719955548955
2025-09-03,39094.0926082,3.419300000000021,61562.5722397425,66367.146676265,0.21909957588664924
2025-09-04,39003.01804472016,33.481973666660245,63172.142442351666,65697.183941865,0.24494695458070004
2025-09-05,37514.811802159995,0.0,42138.67419307167,62798.547565174995,15.384328769228434
2025-09-06,35442.811358570005,0.0,41350.757843780826,60022.91999576,12.706694727950687
2025-09-07,39996.83645401263,2152.4730891152276,61764.129873390004,61425.25404056499,0.06487108623237932
2025-09-08,40559.286589367926,1287.166941563787,63820.54969278,68299.36230041,0.0722091126890465
2025-09-09,38230.69490246879,997.0527166934144,62288.33949375417,68664.506380425,0.1121986575769461
2025-09-10,50948.66727372928,5179.600322983536,66391.64943908583,68474.83142649502,0.1266137488691543
2025-09-11,40759.55227214031,840.8664729999958,64366.99156089333,60629.894061039995,0.2226790659543127
2025-09-12,34572.79609634,0.0,42185.60477040167,62572.47594178999,7.690836850747295
2025-09-13,32308.07848559,0.0,41300.82233759666,60276.13555769,11.179637820302563
2025-09-14,53967.27833790137,5285.682518950614,66604.8365851,62115.937759795,0.10493211111208003
2025-09-15,49371.889999093066,4728.434154499996,65195.653236729995,81122.58435662,0.08357577382429209
2025-09-16,50825.73583859292,3514.1023233683095,67007.49913304916,62322.196532845,0.08911885179489212
2025-09-17,54696.396344109075,6219.646699351846,66740.75755920165,93920.460887325,0.02672139837177497
2025-09-18,57383.67975524353,7642.081824096698,66258.00700017916,61421.00118203,0.02797841045406602
2025-09-19,33257.34198068,0.0,42301.0482476775,61502.023514225,4.7339993745740925
2025-09-20,32047.25141659,0.0,42488.772031433335,81667.398415165,4.7169241637101305
2025-09-21,56775.121854028184,6980.3025602777725,64973.237575014165,58664.017370505004,0.027201509069983493
2025-09-22,53334.53790941516,4230.70085383333,68204.75826200083,60942.65792838501,0.08260079619295482
2025-09-23,58118.45652077572,6085.97153656995,69098.55888675584,62940.15286825001,0.03452091805554971
2025-09-24,59720.01643354931,8230.20379512551,67716.687910485,62734.27312497,0.02754121081182824
2025-09-25,56243.85065908817,6562.339279255138,67467.1624895725,63584.70983562,0.027671342531308755
2025-09-26,37590.14469681,0.0,44674.757369105835,64877.699046495,5.097940660804349
2025-09-27,31965.89094656,0.0,43197.368452744166,92365.17656901499,3.912155415801817
2025-09-28,70938.49771167437,12613.768793382707,68590.23454585581,104291.573706055,0.02651791727569384
2025-09-29,58849.79362280356,5966.693917098761,69703.50459755833,63057.421841965,0.032581976875678174
2025-09-30,68276.91131340258,9843.534940644033,71552.01177191499,66420.237759365,0.03180989745352725
2025-10-01,37941.195341585,2029.617383333333,61149.27660387917,77406.475403185,0.24453899473304688
2025-10-02,39358.81422781165,989.9750284999966,63470.34199803583,60760.14368315,0.33089670232820345
2025-10-03,32060.03625926,0.0,39701.309740725,60123.344415845,11.543045574020406
2025-10-04,35429.48431545,0.0,42515.136948775835,61454.012756805,7.299367381429428
2025-10-05,43341.189403367236,2646.3209581666624,63866.05108458083,60121.517086595006,0.10017510539866627
2025-10-06,49536.48028935293,5805.983331981484,64144.830275016655,64786.61688560999,0.028056431815131396
2025-10-07,51230.88482589511,6360.806952864196,64879.05456706249,62299.614506455,0.030104584872730305
